model_name,domain,trial,temperature,optimizer,seed,runtime_seconds,final_throughput,success,initial_feasible,feasible,total_partitions,avg_partition_size,max_partition_resource_util,total_folding_moves,total_partition_moves,partition_moves_accepted,folding_moves_accepted,best_iteration_index,final_DSP,final_BRAM,final_LUT,final_FF,error
vdsr,super_resolution,3,10.0,Simulated Annealing,2269293382,85.59300017356873,2.3595866411964783e-08,True,True,True,34,1.088235294117647,0.0,165464,18336,8,92,1088,778,2406,680408,837608,
vdsr,super_resolution,1,20.0,Simulated Annealing,2269293410,83.5604522228241,9.372939921827483e-09,True,True,True,37,1.0,0.0,177734,19866,0,0,0,19,1363,106250,135349,
vdsr,super_resolution,2,20.0,Simulated Annealing,2269293411,96.09695887565613,4.590552156443785e-08,True,True,True,34,1.088235294117647,0.0,177746,19854,12,88,1402,353,2203,951481,1153070,
vdsr,super_resolution,3,20.0,Simulated Annealing,2269293412,83.11780643463135,4.457566051866623e-08,True,True,True,27,1.3703703703703705,0.0,177820,19780,29,171,513,801,2499,769729,946047,
vdsr,super_resolution,1,50.0,Simulated Annealing,2269293500,92.42104768753052,4.799821445682257e-08,True,True,True,36,1.0277777777777777,0.0,194140,21760,5,95,206,496,2555,1008041,1205161,
vdsr,super_resolution,2,50.0,Simulated Annealing,2269293501,91.2633752822876,2.6418226866168812e-08,True,True,True,32,1.15625,0.0,194138,21762,19,81,378,354,1939,577182,713413,
vdsr,super_resolution,3,50.0,Simulated Annealing,2269293502,93.19422721862793,4.6141259544080036e-08,True,True,True,34,1.088235294117647,0.0,194260,21640,4,96,1283,559,2363,877267,1059836,
medical_encoder,medical_imaging,1,NA,Rule-Based,2473579616,23.0950345993042,3.7524105590968187e-07,True,False,False,18,1.1666666666666667,0.0,NA,NA,NA,NA,NA,9,1312,46899,61722,
medical_encoder,medical_imaging,2,NA,Rule-Based,2473579617,22.074618339538574,3.7524105590968187e-07,True,False,False,18,1.1666666666666667,0.0,NA,NA,NA,NA,NA,9,1312,46899,61722,
medical_encoder,medical_imaging,3,NA,Rule-Based,2473579618,22.075658321380615,3.7524105590968187e-07,True,False,False,18,1.1666666666666667,0.0,NA,NA,NA,NA,NA,9,1312,46899,61722,
medical_encoder,medical_imaging,1,10.0,Simulated Annealing,2473579676,46.44562911987305,3.7510885518311593e-07,True,False,False,21,1.0,0.0,165378,18422,0,0,0,9,1312,46899,61722,
medical_encoder,medical_imaging,2,10.0,Simulated Annealing,2473579677,48.10162925720215,3.7510885518311593e-07,True,False,False,21,1.0,0.0,165389,18411,0,0,0,9,1312,46899,61722,
medical_encoder,medical_imaging,3,10.0,Simulated Annealing,2473579678,48.13489651679993,3.7510885518311593e-07,True,False,False,21,1.0,0.0,165327,18473,0,0,0,9,1312,46899,61722,
medical_encoder,medical_imaging,1,20.0,Simulated Annealing,2473579706,51.78269052505493,3.7510885518311593e-07,True,False,False,21,1.0,0.0,177986,19614,0,0,0,9,1312,46899,61722,
medical_encoder,medical_imaging,2,20.0,Simulated Annealing,2473579707,51.62383008003235,3.7510885518311593e-07,True,False,False,21,1.0,0.0,177710,19890,0,0,0,9,1312,46899,61722,
medical_encoder,medical_imaging,3,20.0,Simulated Annealing,2473579708,51.34785580635071,3.7510885518311593e-07,True,False,False,21,1.0,0.0,178189,19411,0,0,0,9,1312,46899,61722,
medical_encoder,medical_imaging,1,50.0,Simulated Annealing,2473579796,58.94767141342163,3.7510885518311593e-07,True,False,False,21,1.0,0.0,194246,21654,0,0,0,9,1312,46899,61722,
medical_encoder,medical_imaging,2,50.0,Simulated Annealing,2473579797,57.30977749824524,3.7510885518311593e-07,True,False,False,21,1.0,0.0,194322,21578,0,0,0,9,1312,46899,61722,
medical_encoder,medical_imaging,3,50.0,Simulated Annealing,2473579798,57.3752818107605,3.7510885518311593e-07,True,False,False,21,1.0,0.0,194238,21662,0,0,0,9,1312,46899,61722,
multiscale_medical,medical_imaging,1,NA,Rule-Based,2583719778,43.791736125946045,4.775959729107564e-05,True,True,True,7,2.5714285714285716,0.0,NA,NA,NA,NA,NA,1673,2536,627238,784325,
multiscale_medical,medical_imaging,2,NA,Rule-Based,2583719779,41.628663301467896,4.775959729107564e-05,True,True,True,7,2.5714285714285716,0.0,NA,NA,NA,NA,NA,1673,2536,627238,784325,
multiscale_medical,medical_imaging,3,NA,Rule-Based,2583719780,41.675265073776245,4.775959729107564e-05,True,True,True,7,2.5714285714285716,0.0,NA,NA,NA,NA,NA,1673,2536,627238,784325,
multiscale_medical,medical_imaging,1,10.0,Simulated Annealing,2583719838,40.78724193572998,1.9056873973090569e-06,True,True,True,8,2.25,0.0,165526,18274,95,905,480,297,1113,252398,306267,
multiscale_medical,medical_imaging,2,10.0,Simulated Annealing,2583719839,42.09427332878113,1.0391902546400626e-05,True,True,True,5,3.6,0.0,165511,18289,52,548,1223,434,1180,196363,252846,
multiscale_medical,medical_imaging,3,10.0,Simulated Annealing,2583719840,41.825483560562134,2.1887404156219963e-06,True,True,True,6,3.0,0.0,165390,18410,71,629,997,366,1390,412108,529723,
multiscale_medical,medical_imaging,1,20.0,Simulated Annealing,2583719868,46.18205952644348,2.1350084324826796e-06,True,True,True,9,2.0,0.0,177722,19878,78,722,624,239,1039,419286,530757,
multiscale_medical,medical_imaging,2,20.0,Simulated Annealing,2583719869,45.12145709991455,3.529156523650245e-06,True,True,True,3,6.0,0.0,177950,19650,54,446,1538,185,1040,230217,293120,
multiscale_medical,medical_imaging,3,20.0,Simulated Annealing,2583719870,45.305906534194946,9.606883977952804e-07,True,True,True,6,3.0,0.0,177633,19967,44,456,110,83,846,161895,205009,
multiscale_medical,medical_imaging,1,50.0,Simulated Annealing,2583719958,53.85465931892395,1.780167434983223e-06,True,True,True,10,1.8,0.0,194503,21397,66,534,580,459,1224,360957,456132,
multiscale_medical,medical_imaging,2,50.0,Simulated Annealing,2583719959,50.65942430496216,1.3590670227775623e-06,True,True,True,11,1.6363636363636365,0.0,194365,21535,30,270,211,231,1123,365234,460758,
multiscale_medical,medical_imaging,3,50.0,Simulated Annealing,2583719960,49.60487461090088,3.1364121295720848e-06,True,True,True,5,3.6,0.0,194319,21581,66,534,769,307,1101,216525,274023,
